NO_OF_SAMPLES	285
FREQUENCY	400
TIME_STAMP	2020-09-07, 13:55:35.487	6443.19671659
FIRST_SAMPLE	3970
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7391
FORCE_PLATE_CORNER_POSX_POSY_X	577.929020
FORCE_PLATE_CORNER_POSX_POSY_Y	379.409999
FORCE_PLATE_CORNER_POSX_POSY_Z	-16.377101
FORCE_PLATE_CORNER_NEGX_POSY_X	578.094959
FORCE_PLATE_CORNER_NEGX_POSY_Y	-4.674060
FORCE_PLATE_CORNER_NEGX_POSY_Z	-15.861800
FORCE_PLATE_CORNER_NEGX_NEGY_X	-4.727530
FORCE_PLATE_CORNER_NEGX_NEGY_Y	-5.701920
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-19.209800
FORCE_PLATE_CORNER_POSX_NEGY_X	-6.694280
FORCE_PLATE_CORNER_POSX_NEGY_Y	377.105981
FORCE_PLATE_CORNER_POSX_NEGY_Z	-17.307501
FORCE_PLATE_OFFSET_X	-0.304800
FORCE_PLATE_OFFSET_Y	-0.457200
FORCE_PLATE_OFFSET_Z	-46.024800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
-12.157982	11.618534	473.782718	30.565309	-12.015829	-2.307410	26.237742	62.927486	0.000000	
-12.115377	11.532501	474.813861	30.497675	-11.981145	-2.308019	26.102923	62.655729	0.000000	
-11.984921	11.535532	475.501563	30.651580	-11.981162	-2.308100	26.052138	62.887826	0.000000	
-12.204312	11.496212	476.188528	30.738971	-12.015854	-2.299002	26.108173	62.983766	0.000000	
-12.378192	11.848730	476.363534	30.781944	-12.172559	-2.234017	26.444230	63.016610	0.000000	
-12.379610	11.763970	477.048687	30.804311	-12.346089	-2.261767	26.769707	62.980510	0.000000	
-11.990379	11.067680	478.586746	30.960332	-12.293123	-2.410318	26.534594	63.169602	0.000000	
-12.038425	10.637276	480.816372	30.981060	-12.414365	-2.457369	26.666892	62.958863	0.000000	
-12.128700	10.204059	481.670588	31.069895	-12.448633	-2.522355	26.698830	63.072224	0.000000	
-12.217878	10.080282	483.729687	31.179325	-12.535204	-2.578483	26.771333	63.039797	0.000000	
-12.310318	9.743520	486.820838	31.484679	-12.587230	-2.560893	26.715017	63.295691	0.000000	
-12.268500	9.661057	488.881587	31.460948	-12.674033	-2.589447	26.774739	62.986180	0.000000	
-12.661739	9.931136	489.569277	31.659078	-12.952005	-2.561300	27.341459	63.276373	0.000000	
-12.620787	9.851281	491.803475	31.788522	-13.004265	-2.534288	27.318295	63.257516	0.000000	
-12.583604	8.944495	495.056591	32.031949	-13.089919	-2.720298	27.306340	63.414852	0.000000	
-12.849444	8.736392	497.975828	32.095219	-13.228760	-2.730572	27.447858	63.186708	0.000000	
-13.158601	8.528011	500.551806	32.202689	-13.298125	-2.731498	27.472039	63.093044	0.000000	
-13.424540	8.147950	502.951908	32.621188	-13.367003	-2.796666	27.500771	63.656644	0.000000	
-13.605061	7.815050	507.415421	32.882359	-13.592523	-2.834962	27.716999	63.637567	0.000000	
-13.650538	7.912826	510.508818	33.011796	-13.731569	-2.845172	27.823671	63.493918	0.000000	
-14.309153	7.922718	512.227884	33.008827	-14.061764	-2.771485	28.433072	63.272610	0.000000	
-14.837341	7.810045	516.179457	33.379103	-14.113839	-2.744949	28.361054	63.512116	0.000000	
-15.059640	7.561203	519.782780	33.553986	-14.339178	-2.829216	28.615540	63.427147	0.000000	
-15.194967	7.358082	523.904180	33.837142	-14.443224	-2.858257	28.598518	63.482903	0.000000	
-15.372789	7.419308	527.512560	34.340744	-14.564888	-2.831231	28.646961	63.994861	0.000000	
-15.159591	6.997903	531.972602	34.736560	-14.755290	-2.961849	28.743702	64.235010	0.000000	
-15.425400	7.018209	536.438862	35.239849	-14.928933	-2.962874	28.848353	64.632859	0.000000	
-15.642426	7.778577	540.394796	35.632838	-15.155209	-2.935920	29.072146	64.818836	0.000000	
-16.079293	8.451740	544.006134	35.937963	-15.589872	-2.890137	29.713094	64.889440	0.000000	
-16.343081	8.689706	548.301375	36.420021	-15.780874	-2.918809	29.848437	65.236743	0.000000	
-16.561202	9.189462	552.082056	36.990921	-15.972003	-2.937853	30.006326	65.779291	0.000000	
-16.563084	9.913855	558.272066	37.557803	-16.389623	-2.874341	30.418455	66.000577	0.000000	
-16.778633	10.940208	562.915792	38.105236	-16.650666	-2.865891	30.646365	66.340916	0.000000	
-16.430008	11.580033	569.447139	39.092479	-16.772590	-2.876379	30.477299	67.256741	0.000000	
-17.035894	13.223286	575.126821	39.615416	-17.120978	-2.812765	30.827554	67.365784	0.000000	
-16.899043	14.952459	581.325002	40.291611	-17.313414	-2.721605	30.815811	67.668937	0.000000	
-17.371670	17.254038	586.322728	41.100997	-17.905647	-2.545860	31.597723	68.288016	0.000000	
-17.843718	19.382247	592.694284	41.908991	-18.098150	-2.436106	31.616216	68.746988	0.000000	
-18.228133	21.505571	597.690527	42.608646	-18.429578	-2.325668	31.933496	69.175585	0.000000	
-18.351245	23.542335	603.028813	43.419101	-18.795626	-2.242906	32.264520	69.747686	0.000000	
-18.563190	25.227972	607.850224	44.207598	-19.005147	-2.160235	32.366924	70.360386	0.000000	
-18.864050	26.961525	614.049277	44.992784	-19.215063	-2.004198	32.401496	70.794224	0.000000	
-18.946004	28.475566	620.930055	45.736547	-19.389527	-2.015037	32.326111	71.090255	0.000000	
